entries|examples|translation|nwords|counter|firsttime|lasttime
abonnieren, abonniert, abonnierte, hat abonniert|Diese Zeitschrift würde ich gerne abonnieren.|I would like to subscribe to this magazine. |4|0|never|never
das Abonnement, -s/-e|Ich habe das Abonnement gekündigt.|I have terminated the subscription. |2|0|never|never
absagen, sagt ab, sagte ab, hat abgesagt|Ich muss unser Treffen leider absagen, weil ich krank geworden bin.|Unfortunately, I have to cancel our meeting because I got sick. |4|0|never|never
der Abschluss, ¨-e|Ein guter Schulabschluss ist sehr wichtig.|A good graduation is very important. |2|0|never|never
der Abschnitt, -e|Lesen Sie bitte den zweiten Abschnitt.|Please read the second section. |2|0|never|never
der Absender, - die Absenderin, -nen|Schicken Sie das Paket an den Absender zurück.|Send the package back to the sender. |3|0|never|never
die Absicht, -en|1. Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht. 2. Hast du die Absicht zu studieren?|1. Excuse me. My daughter did not do that with intention. 2. Do you have the intention to study? |2|0|never|never
absolut|1. Was Sie da sagen, ist absolut falsch. 2. Ich habe absolutes Vertrauen zu dir.|1. What you say there is absolutely wrong. 2. I have absolute confidence to you. |1|0|never|never
abstimmen, stimmt ab, stimmte ab, hat abgestimmt|Lasst uns über diesen Punkt abstimmen.|Let's vote on this point. |4|0|never|never
die Abteilung, -en|Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.|My girlfriend works in the department of Mrs. Kaufmann. |2|0|never|never
der Abwart, -e die Abwartin, -nen (CH) → D, A: Hausmeister|Der Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen.|The wafer helped me to carry the closet in the apartment. |4|0|never|never
abwärts|Von dort führt der Weg abwärts ins Tal.|From there, the way leads down to the valley. |1|0|never|never
abwaschen, wäscht ab, wusch ab, hat abgewaschen|Ich muss noch das Geschirr abwaschen.|I still have to wash the dishes. |4|0|never|never
abwesend|Herr Huber ist bis zum 25. April abwesend.|Mr. Huber is absent from 25 April. |1|0|never|never
achten, achtet, achtete, hat geachtet (auf)|Achten Sie bitte darauf, dass Sie abschließen, wenn Sie gehen.|Please make sure that you complete when you go. |4|0|never|never
Achtung!|Achtung, hier endet die Straße!|Attention, here ends the road! |1|0|never|never
die Adresse, -n|Hast du schon meine neue Adresse?|Do you already have my new address? |2|0|never|never
ähnlich|1. Emilia ist in einer ganz ähnlichen Situation wie ich. 2. Oleg sieht seinem Bruder sehr ähnlich.|1. Emilia is in a very similar situation like me. 2. Oleg looks very similar to his brother. |1|0|never|never
die Ahnung|Ich hatte keine Ahnung, dass du heute Geburtstag hast.|I had no idea that you have a birthday today. |1|0|never|never
die Aktion, -en|Die Stadt sollte eine Aktion für Familien planen.|The city should plan an action for families. |2|0|never|never
aktiv|Ich bin sehr aktiv und mache viel Sport.|I am very active and make a lot of sports. |1|1|2021/04/17|2021/04/17
die Aktivität, -en|In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.|During the holidays, the city offers various leisure activities for children. ITÄTEN. |2|1|2021/04/17|2021/04/17
aktuell|Umweltschutz ist ein aktuelles Thema.|Environmental protection is a current topic. |1|0|never|never
akzeptieren, akzeptiert, akzeptierte, hat akzeptiert|Ich kann diese Bedingungen nicht akzeptieren.|I can not accept these conditions. |4|0|never|never
der Alarm, -e|Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.|At the fire alarm, you must not use the elevators. |2|0|never|never
der Alkohol|1. Du musst die Wunde mit Alkohol reinigen. 2. Nein, danke! Ich trinke keinen Alkohol.|1. You have to clean the wound with alcohol. 2. No, thank you! I do not drink alcohol. |1|0|never|never
all-|1. Sind alle Kinder da? 2. Sonst noch (et)was? – Nein, danke. Das ist alles. 3. Alles Gute!|1. Are all children there? 2. Otherwise (et) what? - No thanks. That's all. 3. All the best! |1|0|never|never
allein|1. Ich gehe nicht gern allein spazieren. 2. Soll ich Ihnen helfen? – Danke, ich schaffe es schon allein. 3. Es war sehr teuer. Allein das Essen hat schon über 50 Euro gekostet.|1. I do not like to go for a walk alone. 2. Should I help you? - Thanks, I can do it alone. 3. It was very expensive. The food alone has already cost over 50 euros. |1|0|never|never
aller-|1. Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund. 2. Das ist das Allerschönste, was ich je gesehen habe.|1. The very best thing is when you put yourself in bed and sleep long. Then you will quickly get healthy again. 2. That's the most beautiful thing I have ever seen. |1|0|never|never
allerdings|Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.|We can meet tomorrow, but I have time only from noon. |1|0|never|never
allgemein|1. Wir haben nur über allgemeine Probleme gesprochen. 2. Es ist allgemein bekannt, dass man hier gut essen kann. 3. Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden.|1. We only talk about general problems. 2. It is well known that you can eat well here. 3. In general, I am very satisfied with my work. |1|0|never|never
der Alltag|Das ist mein Alltag: putzen, waschen, kochen.|This is my everyday life: cleaning, washing, cooking. |1|0|never|never
alltäglich|1. Das alltägliche Leben ist manchmal langweilig. 2. Der Roman erzählt eine ganz alltägliche Geschichte.|1. The everyday life is sometimes boring. 2. The novel tells a whole everyday story. |1|1|2021/04/17|2021/04/17
das Alphabet, -e|Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?|How many letters does the alphabet have in your language? |2|0|never|never
als|1. Als mein Mann kam, war die Party schon zu Ende. 2. Sie können sich sowohl persönlich als auch im Internet anmelden. 3. Meine Schwester ist älter als ich. 4. Es ist später, als ich dachte.|1. When my husband came, the party was already over. 2. You can sign up both personally and on the internet. 3. My sister is older than me. 4. It's later when I thought. |1|0|never|never
als ob|Er tut so, als ob wir nie darüber gesprochen hätten.|He is doing as if we had never talked about it. |1|0|never|never
also|1. Also, die Sache ist so: … 2. Irina hat Urlaub. Sie kann uns also helfen. 3. Also wirklich, jetzt reicht es.|1. So, the thing is like this: ... 2. Irina has holidays. So she can help us. 3. So really, now it's enough. |1|0|never|never
alt|1. Wie alt sind Sie? 2. Maria ist eine alte Freundin von mir.|1. How old are you? 2. Maria is an old girlfriend from me. |1|0|never|never
das Alter|1. Wir sind etwa im gleichen Alter. 2. Alter: 26 Jahre|1. We are about the same age. 2nd age: 26 years |1|0|never|never
das Altenheim, -e → Altersheim|Die Großeltern unserer Nachbarn sind im Altenheim.|The grandparents of our neighbors are in the Altenheim. |2|0|never|never
das Altersheim, -e → Altenheim|Die Großeltern unserer Nachbarn sind im Altersheim.|The grandparents of our neighbors are in the retirement home. |2|0|never|never
alternativ|Wir brauchen alternative Energien.|We need alternative energies. |1|0|never|never
die Alternative, -n|Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.|On this route, the train is a good alternative to the plane. |2|0|never|never
die Ampel, -n|Dort an der Ampel kannst du über die Straße gehen.|There you can go over the street at the traffic light. |2|0|never|never
das Amt, ¨-er|Das Arbeitsamt befindet sich neben dem Busbahnhof.|The employment office is next to the bus station. |2|0|never|never
sich amüsieren, amüsiert sich, amüsierte sich, hat sich amüsiert|Bei dem Fest haben wir uns sehr gut amüsiert.|At the festival we have been amused very well. |4|0|never|never
an|1. Am Anfang war alles sehr schwierig. 2. Dann sehen wir uns also am Dienstag. 3. Ich warte am Bahnhof auf dich. 4. Am besten, du gehst zur Information und fragst da. 5. Das Licht war die ganze Nacht an.|1. In the beginning everything was very difficult. 2. Then we see each other on Tuesday. 3. I'm waiting at the station on you. 4. The best, you go for information and ask. 5. The light was all night. |1|0|never|never
analysieren, analysiert, analysierte, hat analysiert|Die Politiker analysieren die Situation auf dem Arbeitsmarkt.|The politicians analyze the situation in the labor market. |4|0|never|never
anbieten, bietet an, bot an, hat angeboten|Darf ich Ihnen etwas zu trinken anbieten?|May I offer you something to drink? |4|0|never|never
der Anbieter, -|Ist das ein privater Telefonanbieter?|Is this a private telephone vendor? |2|0|never|never
das Angebot, -e|1. Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen. 2. Der Käse ist heute im Angebot.|1. I have read a few cheap housing offers in the newspaper. 2. The cheese is on offer today. |2|0|never|never
ander-|1. Die anderen sind schon nach Hause gegangen. 2. Bitte nicht alle auf einmal! Einer nach dem anderen. 3. Ich hätte gern ein anderes Auto. 4. Natascha hat unter anderem Chinesisch und Spanisch gelernt.|1. The others have already gone home. 2. Do not everyone at once! One after the other. 3. I would like another car. 4. Natasha has learned Chinese and Spanish among others. |1|0|never|never
andererseits|Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen.|Tarek wants to study, but on the other hand he wants to earn money. |1|0|never|never
ändern, ändert, änderte, hat geändert|1. Das Wetter hat sich geändert. 2. Ich habe meine Meinung inzwischen geändert.|1. The weather has changed. 2. I have changed my opinion now. |4|0|never|never
die Änderung, -en|Es gibt eine Programmänderung.|There is a program change. |2|0|never|never
anders|1. Anders geht das leider nicht. 2. Oliver ist anders als seine Freunde. 3. Ich würde das anders machen.|1. Unfortunately, this is not different. 2. Oliver is different than his friends. 3. I would do it differently. |1|0|never|never
anerkennen, erkennt an, erkannte an, hat anerkannt|Meine Ausbildung wird hier nicht anerkannt.|My education is not recognized here. |4|0|never|never
anfangen, fängt an, fing an, hat angefangen|1. Wann fängst du mit der Arbeit an? 2. Hier fängt die Bahnhofstraße an.|1. When do you start working? 2. Here the Bahnhofstraße starts. |4|0|never|never
der Anfang, ¨-e|1. Wie war der Film? – Ich habe nur den Anfang gesehen. 2. Am Anfang habe ich bei der Arbeit viele Fragen gestellt. 3. Mein Chef ist Anfang fünfzig. 4. Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe. 5. Wir machen Anfang Juli Ferien. 6. Meine Freundin wohnt am Anfang der Straße.|1. How was the movie? - I just saw the beginning. 2. In the beginning, I asked many questions at work. 3. My boss is early fifty. 4. My mother was from the beginning, that I pull to Berlin. 5. We make holidays at the beginning of July. 6. My girlfriend lives at the beginning of the street. |2|0|never|never
anfangs|Anfangs ging alles gut.|At first everything went well. |1|0|never|never
angeben, gibt an, gab an, hat angegeben|Bitte geben Sie Ihre genaue Adresse an.|Please enter your exact address. |4|0|never|never
die Angabe,-n|Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.|We need the following information: name, address, date of birth. |2|0|never|never
der Angehörige, -n die Angehörige, -n|Der Arzt darf nur Familienangehörigen Auskunft geben.|The doctor may only provide family members. |3|0|never|never
angenehm|Wir wünschen Ihnen eine angenehme Reise.|We wish you a pleasant journey. |1|0|never|never
die Angst, “-e|1. Du brauchst keine Angst zu haben. Der Hund tut dir nichts. 2. Ich habe Angst, vielleicht ist etwas passiert.|1. You do not have to be afraid. The dog does not do anything. 2. I'm scared, maybe something happened. |2|0|never|never
ängstlich|Meine Mutter ist etwas ängstlich. Sie geht nicht gern allein auf die Straße.|My mother is a little scared. She does not like to go to the street alone. |1|0|never|never
anhaben, hat an, hatte an, hat angehabt|Gestern hatte Julia ein rotes Kleid an.|Yesterday Julia had a red dress. |4|0|never|never
anklicken, klickt an, klickte an, hat angeklickt|Du musst das Bild anklicken. Dann wird es größer.|You have to click on the picture. Then it gets bigger. |4|0|never|never
ankommen, kommt an, kam an, ist angekommen|1. Wann kommt der Zug in Hamburg an? 2. Bei dem Spiel kommt es darauf an, schneller zu laufen als die anderen.|1. When does the train arrive in Hamburg? 2. At the game, it is important to run faster than the others. |4|0|never|never
die Ankunft|1. Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr. 2. Gleich nach der Ankunft habe ich meine Eltern angerufen.|1. The departure is at 0.55 clock, the arrival at 8.07 clock. 2. Immediately after the arrival I called my parents. |1|0|never|never
ankündigen, kündigt an, kündigte an, hat angekündigt|Wir sollten unseren Besuch ankündigen.|We should announce our visit. |4|0|never|never
die Anlage, -n|1. Meine Musikanlage ist kaputt. 2. In der Anlage der E-Mail finden Sie meinen Lebenslauf.|1. My music system is broken. 2. In the system of e-mail you will find my CV. |2|0|never|never
die Anleitung, -en|In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.|The instructions say that the oldest starts with this game. |2|0|never|never
anmelden, meldet an, meldete an, hat angemeldet|Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.|For this course, you must definitely register before. |4|0|never|never
die Anmeldung, -en|1. Wo bekomme ich die Formulare für die Anmeldung? 2. Die Anmeldung ist im Erdgeschoss, Zimmer 55.|1. Where can I get the forms for the registration? 2. The registration is on the ground floor, room 55. |2|0|never|never
annehmen, nimmt an, nahm an, hat angenommen|1. Ich nehme Ihre Einladung gern an. 2. Ich nehme an, dass Sie mit dem Vorschlag einverstanden sind.|1. I like to accept your invitation. 2. I assume that they agree with the proposal. |4|0|never|never
die Annonce, -n|Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.|I have read all advertisements, but the apartments are too expensive. |2|0|never|never
die Anrede, -n|Du darfst im Brief die Anrede nicht vergessen.|You must not forget the salutation in the letter. |2|0|never|never
anrufen, ruft an, rief an, hat angerufen|Ich rufe Sie heute Abend an.|I call you tonight. |4|0|never|never
der Anruf, -e|Ich warte auf einen Anruf aus Berlin.|I'm waiting for a call from Berlin. |2|0|never|never
der Anrufbeantworter, -|Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.|I have spoken a message to the answering machine. |2|0|never|never
die Ansage, -n|Achten Sie auf die Ansage am Bahnsteig.|Pay attention to the announcement on the platform. |2|0|never|never
anschaffen, schafft an, schaffte an, hat angeschafft|Wir haben uns neue Möbel angeschafft.|We bought new furniture. |4|0|never|never
anschließen, schließt an, schloss an, hat angeschlossen|Wo kann ich den Computer anschließen?|Where can I connect the computer? |4|0|never|never
der Anschluss, ¨-e|1. In Mannheim haben Sie Anschluss nach Saarbrücken. 2. Ich brauche in meiner Wohnung einen Telefonanschluss.|1. In Mannheim you have connection to Saarbrücken. 2. I need a telephone connection in my apartment. |2|0|never|never
anschnallen, schnallt an, schnallte an, hat angeschnallt|Vergiss nicht, dich anzuschnallen.|Do not forget to blind you. |4|0|never|never
ansehen, sieht an, sah an, hat angesehen|1. Warum siehst du mich so erschrocken an? 2. Darf ich eure Urlaubsfotos ansehen?|1. Why do you see me so scared? 2. May I watch your vacation photos? |4|1|2021/04/17|2021/04/17
ansprechen, spricht an, sprach an, hat angesprochen|Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.|Yesterday, our new neighbor in the staircase has addressed me. |4|0|never|never
der Anspruch, ¨-e|Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.|You live in the city center. That's why you are not entitled to drive. |2|0|never|never
anstellen, stellt an, stellte an, hat angestellt|1. Können Sie bitte die Heizung anstellen? 2. Mein Schwager ist bei einer Möbelfirma angestellt. 3. Da vorne ist die Kasse. Du musst dich anstellen.|1. Can you please hire the heater? 2. My brother-in-law is employed at a furniture company. 3. There is the cash register. You have to do so. |4|0|never|never
der Angestellte, -n die Angestellte, -n|Björn ist Angestellter in einem Reisebüro.|Björn is an employee in a travel agency. |3|0|never|never
sich anstrengen, strengt sich an, strengte sich an, hat sich angestrengt|1. Diese Arbeit strengt mich sehr an. 2. Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen.|1. This work struggles me very much. 2. If you want to create the exam, you have to make an effort more. |4|0|never|never
anstrengend|Ich finde diese Arbeit sehr anstrengend.|I find this work very exhausting. |1|0|never|never
der Antrag, ¨-e|Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?|Have you already filled out an application for the housing allowance? |2|0|never|never
anwenden, wendet an, wandte an, hat angewandt/angewendet|Diese Salbe muss man dreimal am Tag anwenden.|You have to apply this ointment three times a day. |4|0|never|never
anwesend|Bei dem Treffen waren alle Mitglieder anwesend.|At the meeting, all members were present. |1|0|never|never
antworten, antwortet, antwortete, hat geantwortet|Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.|Jorge has not answered my letter for three weeks. |4|0|never|never
die Antwort, -en|Leider habe ich keine Antwort bekommen.|Unfortunately, I did not get an answer. |2|1|2021/04/17|2021/04/17
der Anwalt, ¨-e die Anwältin, -nen|Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.|I will not pay that. I would like to talk to my lawyer first. |3|0|never|never
anzeigen, zeigt an, zeigte an, hat angezeigt|Wenn Sie hier parken, zeige ich Sie an.|If you park here, I'll show you. |4|0|never|never
die Anzeige, -n|1. Ich habe alle Anzeigen gelesen, aber die Wohnungen sind zu teuer. 2. Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.|1. I have read all ads, but the apartments are too expensive. 2. You can not park here, otherwise you will receive an ad. |2|0|never|never
(sich) anziehen, zieht an, zog an, hat angezogen|1. Du musst dich wärmer anziehen, sonst erkältest du dich. 2. Heute ziehe ich mein neues T-Shirt an.|1. You have to dress warmer, otherwise you realize yourself. 2. Today I put on my new T-shirt. |4|0|never|never
der Anzug, ¨-e|Mein Mann hat sich einen neuen Anzug gekauft.|My husband has bought a new suit. |2|0|never|never
das Apartment, -s|Wir haben ein Ferienapartment gemietet.|We rented a holiday apartment. |2|0|never|never
der Apfel, ¨-|Zum Frühstück esse ich jeden Tag einen Apfel.|For breakfast I eat an apple every day. |2|0|never|never
die Apotheke, -n|Ist hier in der Nähe eine Apotheke?|Is here near a pharmacy? |2|0|never|never
der Apparat, -e|1. Können Sie den Apparat bitte etwas leiser stellen? 2. Wo ist mein Fotoapparat?|1. Can you please a little quieter? 2. Where is my camera? |2|0|never|never
der Appetit|1. Ich habe heute keinen Appetit. Ich mag nichts essen. 2. Auf was hast du Appetit? Vielleicht auf einen Salat? 3. Guten Appetit!|1. I have no appetite today. I do not like food. 2. What do you have appetite? Maybe on a salad? 3. good appetite! |1|0|never|never
die Aprikose, -n (D, CH) → A: Marille|Schmecken dir die Aprikosen?|Taste the apricots? |3|0|never|never
arbeiten, arbeitet, arbeitete, hat gearbeitet|1. Er arbeitet heute bis 16 Uhr. 2. Arzu arbeitet als Krankenschwester im Krankenhaus.|1. He works today until 4 pm. 2. Arzu works as a nurse in the hospital. |4|1|2021/04/17|2021/04/17
die Arbeit, -en|1. Wie gefällt dir deine Arbeit? 2. Nach der Ausbildung hat Mohamed eine Arbeit gefunden.|1. How do you like your work? 2. After training, Mohamed has found a work. |2|0|never|never
der Arbeiter, - die Arbeiterin, -nen|Maria ist seit zwei Jahren Arbeiterin bei Siemens.|Maria has been working in Siemens for two years. |3|0|never|never
die Arbeitserlaubnis|Haben Sie eine Arbeitserlaubnis?|Do you have a work permit? |1|0|never|never
arbeitslos|Wie lange sind Sie schon arbeitslos?|How long have you been unemployed? |1|0|never|never
die Arbeitslosigkeit|Die Arbeitslosigkeit ist gesunken.|Unemployment has fallen. |1|0|never|never
der Arbeitsplatz, ¨-e|In der Industrie gibt es immer weniger Arbeitsplätze.|There are fewer workplaces in the industry. |2|0|never|never
die Arbeitsstelle, -n|Meine Frau hat eine neue Arbeitsstelle gefunden.|My wife has found a new job. |2|0|never|never
der Architekt, -en die Architektin, -nen|Dieses Haus hat eine berühmte Architektin gebaut.|This house has built a famous architect. |3|0|never|never
(sich) ärgern, ärgert, ärgerte, hat geärgert|1. Ärgern Sie sich nicht. 2. Mein Bruder hat mich schon als Kind immer geärgert.|1. Do not worry. 2. My brother has always annoyed me as a child. |4|0|never|never
der Ärger|Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.|I had trouble today in the office. I quarreled myself with a colleague. |1|0|never|never
ärgerlich|Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.|The train is late again. That is really annoying. |1|0|never|never
arm|1. Die Regierung hilft armen Nachbarländern. 2. Ich hätte gerne 200 g fettarmen Käse.|1. The government helps poor neighboring countries. 2. I'd like 200 g low fat cheese. |1|0|never|never
der Arm, -e|Mein Freund hat sich den Arm gebrochen.|My friend has broken his arm. |2|0|never|never
die Art, -en|1. Im Zoo haben sie 34 verschiedene Arten von Vögeln. 2. Seine Art gefällt mir nicht. 3. Man kann auf unterschiedliche Art und Weise ein Fest feiern.|1. In the zoo you have 34 different types of birds. 2. I do not like his kind. 3. You can celebrate a festival in different ways. |2|0|never|never
der Artikel, -|1. Ich habe einen interessanten Artikel gelesen. 2. Im Deutschen gibt es drei Artikel: der, die, das.|1. I have read an interesting article. 2. There are three articles in German: the one, that. |2|0|never|never
der Arzt, ¨-e die Ärztin, -nen|1. Ich muss heute zum Arzt. 2. Wann warst du beim Zahnarzt?|1. I have to go to the doctor today. 2. When were you at the dentist? |3|0|never|never
das Asyl|Die Menschen sind auf der Flucht und bitten um Asyl.|People are on the run and ask for asylum. |1|0|never|never
atmen, atmet, atmete, hat geatmet|Er hat eine Erkältung und kann nicht durch die Nase atmen.|He has a cold and can not breathe through the nose. |4|0|never|never
der Atem|Bitte den Atem anhalten.|Please stop the breath. |1|0|never|never
auch|1. Ich muss leider gehen. – Ich auch. 2. Ich arbeite die ganze Woche und muss auch am Wochenende arbeiten. 3. Wir fahren auf jeden Fall, auch wenn es regnet. 4. Der Zug ist gerade eben abgefahren. Warum kommst du auch so spät!|1. I have to go unfortunately. - Me too. 2. I work all week and has to work on the weekend. 3. We definitely drive, even if it rains. 4. The train is just just off. Why are you so late! |1|0|never|never
auf|1. Deine Brille liegt auf dem Schreibtisch. 2. Die Kinder spielen unten auf der Straße. 3. Meine Eltern leben auf dem Land. 4. Gestern waren wir auf einer Party. 5. Auf unsere Anzeige in der Abendzeitung hat sich noch niemand gemeldet. 6. Wie heißt das auf Deutsch? 7. Meine Tochter kommt nächstes Jahr aufs Gymnasium. (D) (A, CH: ins) 8. Im Mai war ich auf Urlaub. (A) (D: in) 9. Ich bin schon seit zwei Stunden auf. 10.Komm herein, die Tür ist auf. (D) (A, CH: offen)|1. Your glasses lies on the desk. 2. The children are playing down on the street. 3. My parents live in the countryside. 4. Yesterday we were at a party. 5. Nobody has contacted our ad in the evening newspaper. 6. What's the name of German? 7. My daughter comes to high school next year. (D) (A, CH: Ins) 8. In May I was on vacation. (A) (D: In) 9. I have been up for two hours. 10th, the door is up. (D) (A, CH: open) |1|0|never|never
der Aufenthalt, -e|1. Der Zug hat in München nur 20 Minuten Aufenthalt. 2. Wir wünschen Ihnen einen angenehmen Aufenthalt.|1. The train has only 20 minutes stay in Munich. 2. We wish you a pleasant stay. |2|0|never|never
auffallen, fällt auf, fiel auf, ist aufgefallen|Mir ist aufgefallen, dass Harriett ganz blass ist.|I noticed that Harriett is pale. |4|0|never|never
auffordern, fordert auf, forderte auf, hat aufgefordert|1. Sie forderte mich auf, meine Meinung zu sagen. 2. Er fordert sie zum Tanz auf.|1. She asked me to say my opinion. 2. He challenges her to dance. |4|0|never|never
die Aufforderung, -en|Sie erhalten eine Aufforderung, den Betrag bis Juni zu zahlen.|You will receive a request to pay the amount until June. |2|0|never|never
aufführen, führt auf, führte auf, hat aufgeführt|Die Kinder führen zu Weihnachten ein Theaterstück auf.|The children lead a play for Christmas. |4|0|never|never
die Aufgabe, -n|1. Hast du deine Hausaufgaben für die Schule schon gemacht? 2. Das ist nicht meine Aufgabe.|1. Did you already do your homework for the school? 2. That's not my job. |2|0|never|never
aufgeben, gibt auf, gab auf, hat aufgegeben|1. Ich habe auf der Post ein Paket aufgegeben. 2. Man darf nie aufgeben. Es gibt immer eine Hoffnung.|1. I have given up a package on the post office. 2. You can never give up. There is always a hope. |4|0|never|never
aufhalten, hält auf, hielt auf, hat aufgehalten|1. Wo hält er sich gerade auf? – In München. 2. Darf ich Ihnen die Tür aufhalten? 3. Entschuldigen Sie die Verspätung, ich wurde aufgehalten.|1. Where does he keep up? - In Munich. 2. May I stop the door? 3. Excuse the delay, I was stopped. |4|0|never|never
aufheben, hebt auf, hob auf, hat aufgehoben|1. Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf. 2. Die Quittung müssen Sie gut aufheben.|1. Leave the papers only on the floor, I already pick them up. 2. You have to cancel the receipt well. |4|0|never|never
